,Unnamed: 0,filepath,nameLabel,label,Classe
0,0,archive/New Plant Diseases Dataset(Augmented)/New Plant Diseases Dataset(Augmented)/test/AppleScab3.JPG,AppleScab3.JPG,25,Apple___Apple_scab
1,1,archive/New Plant Diseases Dataset(Augmented)/New Plant Diseases Dataset(Augmented)/test/TomatoEarlyBlight2.JPG,TomatoEarlyBlight2.JPG,8,Tomato___Late_blight
2,2,archive/New Plant Diseases Dataset(Augmented)/New Plant Diseases Dataset(Augmented)/test/TomatoEarlyBlight3.JPG,TomatoEarlyBlight3.JPG,5,Tomato___Target_Spot
3,3,archive/New Plant Diseases Dataset(Augmented)/New Plant Diseases Dataset(Augmented)/test/PotatoHealthy1.JPG,PotatoHealthy1.JPG,36,Potato___healthy
4,4,archive/New Plant Diseases Dataset(Augmented)/New Plant Diseases Dataset(Augmented)/test/AppleScab2.JPG,AppleScab2.JPG,25,Apple___Apple_scab
5,5,archive/New Plant Diseases Dataset(Augmented)/New Plant Diseases Dataset(Augmented)/test/TomatoEarlyBlight1.JPG,TomatoEarlyBlight1.JPG,8,Tomato___Late_blight
6,6,archive/New Plant Diseases Dataset(Augmented)/New Plant Diseases Dataset(Augmented)/test/PotatoHealthy2.JPG,PotatoHealthy2.JPG,36,Potato___healthy
7,7,archive/New Plant Diseases Dataset(Augmented)/New Plant Diseases Dataset(Augmented)/test/AppleScab1.JPG,AppleScab1.JPG,25,Apple___Apple_scab
8,8,archive/New Plant Diseases Dataset(Augmented)/New Plant Diseases Dataset(Augmented)/test/TomatoEarlyBlight4.JPG,TomatoEarlyBlight4.JPG,18,Tomato___Early_blight
9,9,archive/New Plant Diseases Dataset(Augmented)/New Plant Diseases Dataset(Augmented)/test/TomatoEarlyBlight5.JPG,TomatoEarlyBlight5.JPG,18,Tomato___Early_blight
10,10,archive/New Plant Diseases Dataset(Augmented)/New Plant Diseases Dataset(Augmented)/test/TomatoEarlyBlight6.JPG,TomatoEarlyBlight6.JPG,18,Tomato___Early_blight
11,11,archive/New Plant Diseases Dataset(Augmented)/New Plant Diseases Dataset(Augmented)/test/PotatoEarlyBlight4.JPG,PotatoEarlyBlight4.JPG,2,Potato___Early_blight
12,12,archive/New Plant Diseases Dataset(Augmented)/New Plant Diseases Dataset(Augmented)/test/PotatoEarlyBlight5.JPG,PotatoEarlyBlight5.JPG,2,Potato___Early_blight
